customer_id,registration_date,age,gender,city,annual_income,segment,lifetime_value,total_orders,avg_order_value,preferred_channel,sessions_per_month,churn_probability,satisfaction_score,days_since_last_purchase
CUST000092,2022-12-26,35.0,Female,Delhi,100000.0,Occasional,6326.11,11,702.9,Social Media,12,0.25,4,57
CUST000093,2023-07-18,22.0,Male,Mumbai,100000.0,Occasional,7682.93,4,1097.56,Mobile App,20,0.1262,4,36
CUST000094,2023-01-20,31.0,Male,Mumbai,,At-Risk,4546.01,3,454.6,Email,3,0.1778,4,348
CUST000095,2021-09-02,26.0,Female,Chennai,100000.0,Premium,46936.73,19,5215.19,Social Media,51,0.311,4,39
CUST000096,2021-05-19,36.0,Male,Pune,,Regular,11802.08,7,983.51,Website,12,0.1517,4,6
CUST000097,2019-12-12,,Male,Delhi,100000.0,Occasional,5384.19,4,897.37,Social Media,11,0.3111,,25
CUST000098,2020-10-13,24.0,Male,Kolkata,100000.0,Regular,20165.4,10,2240.6,In-Store,7,0.0721,4,4
CUST000099,2021-08-20,31.0,Female,Pune,100000.0,Premium,91330.72,16,11416.34,Website,48,0.3295,4,50
CUST000100,2020-10-29,40.0,Female,Hyderabad,100000.0,Regular,15208.58,6,1901.07,Social Media,28,0.2335,4,29
CUST000101,2022-03-07,42.0,Male,Bangalore,100000.0,Occasional,7867.24,5,1123.89,Website,14,0.0565,,39
CUST000102,2021-09-20,52.0,Male,Mumbai,100000.0,Occasional,8399.52,7,763.59,Social Media,20,0.4524,5,32
CUST000103,2022-02-02,33.0,Male,Bangalore,100000.0,Regular,16401.59,7,4100.4,Website,13,0.1429,5,58
CUST000104,2022-12-17,45.0,Female,Hyderabad,100000.0,New,10718.66,7,1531.24,Email,24,0.1987,5,47
CUST000105,2019-07-01,35.0,Male,Kolkata,100000.0,New,5756.39,12,575.64,Mobile App,9,0.4624,4,58
CUST000106,2022-09-27,51.0,Female,Delhi,100000.0,Occasional,3210.45,10,642.09,In-Store,15,0.4503,5,6
CUST000107,2020-12-01,42.0,Female,Bangalore,100000.0,Premium,53338.8,19,5333.88,In-Store,51,0.4371,3,49
CUST000108,2021-11-03,18.0,Male,Pune,108000.0,Regular,23278.82,11,1939.9,In-Store,13,0.2224,5,55
CUST000109,2023-10-12,34.0,Female,Hyderabad,100000.0,Premium,33669.13,15,6733.83,Mobile App,42,0.4867,5,24
CUST000110,2022-05-15,23.0,Female,Hyderabad,,Occasional,5969.76,8,746.22,Social Media,15,0.3233,,18
CUST000111,2019-10-04,45.0,Female,Delhi,100000.0,Regular,26301.87,8,2630.19,Email,16,0.1018,2,47
CUST000112,2019-07-04,,Male,Mumbai,100000.0,Occasional,9941.42,4,1656.9,Social Media,13,0.5045,5,59
CUST000113,2022-02-18,34.0,Male,Bangalore,100000.0,Regular,11456.65,11,818.33,Social Media,23,0.1834,3,25
CUST000114,2019-10-23,,Male,Chennai,100000.0,Regular,9084.87,9,1297.84,Website,14,0.3482,2,54
CUST000115,2023-11-21,,Female,Hyderabad,100000.0,Regular,24223.76,9,2202.16,Email,11,0.3526,2,58
CUST000116,2022-05-13,24.0,Female,Chennai,100000.0,New,10086.08,8,840.51,In-Store,23,0.3643,,30
CUST000117,2020-08-13,29.0,Male,Chennai,100000.0,Regular,16399.76,9,1490.89,Mobile App,14,0.1058,2,53
CUST000118,2021-04-03,22.0,Male,Mumbai,193000.0,New,5437.09,8,679.64,Mobile App,9,0.1927,2,49
CUST000119,2021-04-04,,Male,Bangalore,100000.0,Occasional,6249.99,9,520.83,Mobile App,15,0.4419,3,48
CUST000120,2020-12-10,46.0,Male,Bangalore,100000.0,Occasional,7149.72,5,1787.43,Social Media,22,0.0711,5,58
CUST000121,2020-01-15,36.0,Male,Mumbai,100000.0,Regular,12567.43,6,1396.38,In-Store,15,0.073,2,40
CUST000122,2021-08-23,34.0,Male,Hyderabad,100000.0,Occasional,9007.28,16,750.61,Mobile App,15,0.3548,,10
CUST000123,2020-03-16,37.0,Female,Chennai,,Regular,24320.67,13,2210.97,Mobile App,15,0.1922,5,31
CUST000124,2023-06-22,40.0,Male,Chennai,100000.0,Premium,69877.28,18,6987.73,Website,30,0.3556,5,35
CUST000125,2019-11-07,29.0,Male,Hyderabad,100000.0,Premium,36101.47,25,3008.46,Website,42,0.149,3,32
CUST000126,2020-08-19,29.0,Female,Mumbai,100000.0,New,7480.03,8,831.11,Mobile App,20,0.0969,5,13
CUST000127,2021-03-28,44.0,Female,Mumbai,100000.0,Regular,26357.64,7,2196.47,Social Media,14,0.3612,4,47
CUST000128,2019-07-21,32.0,Male,Chennai,100000.0,Regular,9066.4,4,1295.2,Website,20,0.1891,2,7
CUST000129,2019-06-02,38.0,Female,Bangalore,100000.0,Regular,20734.37,7,2962.05,Mobile App,15,0.2735,,13
CUST000130,2020-07-21,19.0,Male,Hyderabad,100000.0,Occasional,3597.55,7,276.73,Social Media,26,0.1002,5,44
CUST000131,2019-09-27,23.0,Male,Hyderabad,107000.0,Premium,63064.55,20,10510.76,Mobile App,69,0.3189,4,20
CUST000132,2020-08-21,33.0,Male,Delhi,117000.0,Regular,13415.16,7,1117.93,Website,8,0.3108,5,32
CUST000133,2021-10-14,40.0,Female,Kolkata,,Regular,12897.39,12,1074.78,Email,16,0.131,5,22
CUST000134,2021-10-01,24.0,Male,Pune,100000.0,New,15095.92,4,2156.56,Email,12,0.4838,2,2
CUST000135,2023-12-18,58.0,Male,Mumbai,104000.0,Regular,20406.86,11,2915.27,Website,14,0.1875,4,28
CUST000136,2020-10-08,30.0,Female,Chennai,100000.0,Regular,21647.68,5,2405.3,Email,14,0.6321,2,16
CUST000137,2020-09-30,18.0,Male,Bangalore,100000.0,Regular,20912.33,3,3485.39,Social Media,19,0.3197,5,37
CUST000138,2020-06-28,,Male,Kolkata,100000.0,Occasional,5596.05,3,430.47,In-Store,14,0.3516,4,53
CUST000139,2022-05-15,23.0,Female,Hyderabad,100000.0,Premium,76519.69,19,8502.19,Mobile App,51,0.0925,,14
CUST000140,2019-05-21,36.0,Male,Kolkata,100000.0,Regular,27482.86,6,2290.24,In-Store,19,0.2319,5,16
CUST000141,2021-03-30,35.0,Male,Kolkata,100000.0,Regular,27511.81,7,3930.26,Email,12,0.2272,5,3
CUST000142,2019-12-29,31.0,Male,Chennai,100000.0,Premium,60694.74,17,6743.86,Mobile App,51,0.1318,4,42
CUST000143,2022-01-06,18.0,Female,Bangalore,100000.0,Regular,17150.14,5,2450.02,Mobile App,8,0.1853,5,52
CUST000144,2022-01-19,21.0,Male,Mumbai,100000.0,Occasional,7506.38,7,1072.34,Social Media,18,0.1033,1,39
CUST000145,2023-03-15,18.0,Female,Kolkata,100000.0,Premium,74133.21,20,9266.65,Email,54,0.1726,3,14
CUST000146,2021-06-14,32.0,Female,Kolkata,100000.0,At-Risk,3011.89,5,376.49,Website,3,0.3909,,323
CUST000147,2020-05-27,28.0,Male,Hyderabad,100000.0,New,14105.51,10,1567.28,Social Media,17,0.4414,5,38
CUST000148,2023-05-31,25.0,Male,Hyderabad,100000.0,New,12183.37,4,1218.34,In-Store,14,0.4482,2,43
CUST000149,2022-01-12,33.0,Male,Kolkata,158000.0,Regular,9053.31,13,646.67,In-Store,10,0.4542,3,29
CUST000150,2023-12-07,44.0,Male,Pune,100000.0,Occasional,9409.73,11,1568.29,Mobile App,9,0.2706,,32
CUST000151,2022-08-27,40.0,Female,Kolkata,113000.0,Premium,73470.61,16,10495.8,In-Store,51,0.1805,4,44
CUST000152,2021-04-20,26.0,Female,Chennai,100000.0,Premium,33922.88,18,3083.9,Website,27,0.3181,5,55
CUST000153,2019-05-11,24.0,Female,Kolkata,100000.0,Occasional,8239.95,9,749.09,Social Media,14,0.2135,4,9
CUST000154,2020-02-11,34.0,Female,Bangalore,100000.0,Regular,19135.3,8,3827.06,In-Store,17,0.2265,1,13
CUST000155,2020-06-29,35.0,Female,Bangalore,100000.0,At-Risk,2594.05,11,199.54,In-Store,7,0.5608,1,265
CUST000156,2023-07-30,45.0,Female,Delhi,100000.0,Regular,10568.42,10,880.7,Social Media,6,0.4002,5,19
CUST000157,2022-12-10,64.0,Female,Chennai,100000.0,New,11413.06,6,951.09,Email,9,0.228,4,26
CUST000158,2021-10-04,36.0,Male,Delhi,100000.0,Occasional,8213.61,5,1173.37,Mobile App,17,0.0518,5,1
CUST000159,2022-03-06,18.0,Male,Kolkata,100000.0,Premium,25951.59,18,4325.26,In-Store,54,0.1758,4,40
CUST000160,2021-05-02,43.0,Female,Hyderabad,100000.0,Regular,20706.78,7,2300.75,Email,18,0.5188,4,4
CUST000161,2019-09-16,19.0,Male,Bangalore,127000.0,Occasional,5411.45,6,901.91,Mobile App,20,0.2309,5,52
CUST000162,2022-08-17,24.0,Male,Chennai,100000.0,Regular,20376.35,6,2264.04,Mobile App,15,0.264,4,50
CUST000163,2020-01-02,40.0,Female,Mumbai,100000.0,Premium,64726.38,19,5884.22,Mobile App,30,0.441,4,34
CUST000164,2022-12-05,42.0,Male,Hyderabad,,Regular,29836.33,2,3729.54,In-Store,20,0.1509,4,16
CUST000165,2023-04-10,34.0,Male,Mumbai,100000.0,Regular,18768.1,8,1706.19,Email,11,0.2298,3,28
CUST000166,2019-09-18,38.0,Female,Bangalore,104000.0,Premium,54315.26,20,6035.03,In-Store,51,0.3286,5,13
CUST000167,2023-10-11,46.0,Female,Delhi,100000.0,Occasional,6338.98,7,792.37,In-Store,8,0.2335,5,33
CUST000168,2022-07-15,42.0,Male,Chennai,100000.0,Regular,18645.25,7,4661.31,In-Store,12,0.1532,5,51
CUST000169,2023-12-30,56.0,Male,Mumbai,117000.0,New,7393.04,5,924.13,In-Store,12,0.6648,5,22
CUST000170,2019-10-21,47.0,Female,Pune,,Occasional,7812.92,6,781.29,In-Store,8,0.443,5,35
CUST000171,2019-11-26,20.0,Male,Chennai,,Occasional,8412.12,9,841.21,Website,10,0.3137,3,3
CUST000172,2021-08-29,18.0,Female,Mumbai,100000.0,Premium,89973.61,16,8997.36,Social Media,45,0.4271,4,56
CUST000173,2019-05-24,39.0,Female,Chennai,100000.0,New,4136.3,5,689.38,Social Media,12,0.2405,2,43
CUST000174,2021-04-06,29.0,Female,Pune,100000.0,Regular,11563.72,6,1927.29,Mobile App,17,0.0999,2,12
CUST000175,2019-09-11,35.0,Other,Hyderabad,197000.0,New,7454.13,14,828.24,Email,14,0.5818,3,30
CUST000176,2020-05-10,26.0,Female,Mumbai,100000.0,Regular,12230.48,15,1528.81,Email,11,0.3283,4,18
CUST000177,2021-06-16,29.0,Male,Kolkata,137000.0,Regular,11617.13,7,1056.1,Mobile App,9,0.2652,3,37
CUST000178,2021-09-26,26.0,Female,Pune,100000.0,Occasional,4729.68,10,525.52,In-Store,17,0.482,5,44
CUST000179,2019-03-13,21.0,Male,Chennai,112000.0,Premium,69993.21,17,11665.53,In-Store,54,0.4114,5,30
CUST000180,2020-05-22,52.0,Male,Hyderabad,100000.0,Regular,22246.11,5,1711.24,Social Media,11,0.2656,5,45
CUST000181,2022-05-05,27.0,Male,Bangalore,,Regular,16039.17,8,1458.11,In-Store,16,0.424,5,37
CUST000182,2022-09-02,32.0,Female,Kolkata,100000.0,Regular,20034.03,10,3339.01,Website,11,0.3361,4,17
CUST000183,2023-06-08,33.0,Male,Kolkata,100000.0,Regular,8411.18,12,841.12,In-Store,15,0.2388,,28
CUST000184,2020-10-14,50.0,Female,Hyderabad,,At-Risk,5575.31,8,557.53,Website,4,0.5051,5,183
CUST000185,2021-12-16,39.0,Male,Pune,100000.0,Occasional,3786.28,10,473.29,Social Media,15,0.4608,3,41
CUST000186,2021-05-15,33.0,Female,Kolkata,100000.0,New,15647.36,14,1043.16,Email,18,0.2238,3,44
CUST000187,2019-09-24,45.0,Female,Chennai,100000.0,At-Risk,5765.48,6,480.46,Mobile App,5,0.1227,5,221
CUST000188,2019-11-19,18.0,Female,Pune,100000.0,Occasional,5073.03,7,563.67,Social Media,20,0.6151,4,40
CUST000189,2019-03-01,22.0,Male,Delhi,124000.0,New,7810.35,7,710.03,Mobile App,15,0.3037,5,11
CUST000190,2022-12-28,44.0,Male,Kolkata,,At-Risk,5040.83,15,458.26,In-Store,3,0.1856,5,171
CUST000191,2022-09-20,40.0,Female,Delhi,153000.0,At-Risk,4941.34,8,617.67,In-Store,5,0.0751,4,123
CUST000192,2023-01-09,35.0,Male,Hyderabad,114000.0,Regular,7540.98,5,1077.28,Social Media,13,0.0885,4,12
CUST000193,2020-04-01,34.0,Female,Kolkata,148000.0,Regular,18339.29,8,1528.27,Mobile App,12,0.0791,4,37
CUST000194,2022-08-30,62.0,Male,Pune,100000.0,Premium,47354.56,16,5919.32,Mobile App,33,0.2117,4,3
CUST000195,2020-10-03,26.0,Male,Chennai,179000.0,Occasional,8820.91,6,1102.61,Social Media,20,0.2805,4,20
CUST000196,2023-11-24,25.0,Female,Hyderabad,100000.0,Regular,27074.18,4,2707.42,Mobile App,20,0.2421,3,15
CUST000197,2022-04-06,30.0,Female,Pune,100000.0,Regular,25548.05,7,4258.01,Mobile App,9,0.2641,4,33
CUST000198,2023-01-23,45.0,Male,Mumbai,100000.0,Regular,8678.87,4,1446.48,Social Media,14,0.3646,4,11
CUST000199,2020-10-31,26.0,Female,Delhi,100000.0,At-Risk,5679.94,8,1135.99,Email,3,0.283,4,287
CUST000200,2022-12-11,32.0,Female,Bangalore,100000.0,At-Risk,3409.89,5,340.99,Email,4,0.4634,4,105
CUST000201,2022-10-23,34.0,Male,Bangalore,,At-Risk,2225.28,7,278.16,Email,4,0.4058,4,326
CUST000202,2022-05-20,45.0,Male,Chennai,100000.0,Occasional,6328.81,7,904.12,Mobile App,16,0.1746,3,36
CUST000203,2019-09-22,47.0,Female,Delhi,100000.0,Premium,61659.68,21,8808.53,In-Store,48,0.2643,5,48
CUST000204,2019-01-04,49.0,Female,Delhi,147000.0,Premium,74708.88,18,8300.99,Social Media,57,0.3483,1,30
CUST000205,2020-12-12,48.0,Female,Mumbai,153000.0,Occasional,8438.62,13,1054.83,In-Store,20,0.2424,5,1
CUST000206,2021-11-07,28.0,Female,Mumbai,100000.0,Occasional,7383.53,11,615.29,In-Store,10,0.1605,,29
CUST000207,2022-02-26,34.0,Female,Bangalore,101000.0,Occasional,7966.19,10,796.62,Social Media,20,0.294,1,18
CUST000208,2019-02-02,29.0,Other,Chennai,100000.0,Premium,67562.48,19,7506.94,Social Media,42,0.7444,4,48
CUST000209,2022-11-09,32.0,Female,Delhi,100000.0,Regular,22225.04,7,1587.5,In-Store,12,0.348,5,5
CUST000210,2022-10-15,39.0,Female,Mumbai,102000.0,Regular,17539.44,7,1252.82,Email,18,0.3539,4,34
CUST000211,2022-04-09,47.0,Female,Bangalore,100000.0,At-Risk,1821.48,12,140.11,In-Store,5,0.335,,168
CUST000212,2019-05-21,28.0,Female,Bangalore,100000.0,New,9857.47,13,985.75,Email,13,0.0813,5,26
CUST000213,2020-10-28,40.0,Male,Hyderabad,,Occasional,8450.69,3,704.22,Website,16,0.0976,3,5
CUST000214,2021-05-12,18.0,Female,Delhi,100000.0,Premium,28810.06,15,4115.72,Email,30,0.573,4,28
CUST000215,2020-11-01,56.0,Male,Bangalore,100000.0,Premium,77630.04,22,8625.56,Email,30,0.1373,5,21
CUST000216,2019-05-22,21.0,Male,Pune,,Premium,72623.07,19,8069.23,Website,33,0.1723,5,14
CUST000217,2022-09-29,28.0,Female,Chennai,100000.0,Regular,10392.44,7,1484.63,Social Media,16,0.3948,5,37
CUST000218,2020-09-01,26.0,Female,Delhi,100000.0,Regular,18777.31,9,2086.37,In-Store,12,0.3739,5,24
CUST000219,2020-04-26,27.0,Male,Bangalore,125000.0,Occasional,6521.37,10,1086.89,Social Media,15,0.2524,5,11
CUST000220,2023-07-14,18.0,Female,Hyderabad,100000.0,Occasional,4253.42,8,303.82,Website,18,0.0794,3,11
CUST000221,2023-12-17,26.0,Female,Delhi,100000.0,Premium,78509.75,18,7137.25,Email,36,0.3368,3,8
CUST000222,2021-06-26,43.0,Female,Pune,100000.0,Occasional,7681.76,9,1097.39,Social Media,18,0.1992,,58
CUST000223,2020-04-12,19.0,Female,Chennai,100000.0,Premium,65403.43,15,10900.57,Website,30,0.0729,4,37
CUST000224,2019-10-10,41.0,Male,Hyderabad,100000.0,Occasional,6907.45,9,986.78,In-Store,20,0.6107,2,57
CUST000225,2021-01-15,26.0,Male,Bangalore,216000.0,Occasional,4989.74,9,554.42,Email,12,0.2679,,39
